season,sid,name,recurv_time,ncep_time,month,hour
2005,2005217N13327,IRENE,2005-08-15 00:00:00.000039936+00:00,2005-08-15 00:00:00+00:00,8,0
2005,2005249N26281,OPHELIA,2005-09-09 12:00:00.000039936+00:00,2005-09-09 12:00:00+00:00,9,12
2006,2006161N20275,ALBERTO,2006-06-12 03:00:00.000039936+00:00,2006-06-12 06:00:00+00:00,6,6
2006,2006198N37291,NOT_NAMED,2006-07-17 03:00:00.000039936+00:00,2006-07-17 06:00:00+00:00,7,6
2006,2006200N32287,BERYL,2006-07-20 21:00:00.000039936+00:00,2006-07-21 00:00:00+00:00,7,0
2006,2006247N14321,FLORENCE,2006-09-11 12:00:00.000039936+00:00,2006-09-11 12:00:00+00:00,9,12
2006,2006271N26307,ISAAC,2006-10-01 18:00:00.000039936+00:00,2006-10-01 18:00:00+00:00,10,18
2007,2007297N18300,NOEL,2007-11-01 17:45:00.000053248+00:00,2007-11-01 18:00:00+00:00,11,18
2008,2008201N32280,CRISTOBAL,2008-07-20 18:00:00.000039936+00:00,2008-07-20 18:00:00+00:00,7,18
2008,2008241N19303,HANNA,2008-09-06 09:00:00.000039936+00:00,2008-09-06 12:00:00+00:00,9,12
2008,2008269N21290,KYLE,2008-09-28 03:00:00.000039936+00:00,2008-09-28 06:00:00+00:00,9,6
2009,2009227N12328,BILL,2009-08-22 21:00:00.000039936+00:00,2009-08-23 00:00:00+00:00,8,0
2010,2010236N12341,EARL,2010-09-03 03:00:00.000039936+00:00,2010-09-03 06:00:00+00:00,9,6
2010,2010251N14337,IGOR,2010-09-20 03:00:00.000039936+00:00,2010-09-20 06:00:00+00:00,9,6
2011,2011233N15301,IRENE,2011-08-28 00:00:00.000039936+00:00,2011-08-28 00:00:00+00:00,8,0
2011,2011240N10341,KATIA,2011-09-08 21:00:00.000039936+00:00,2011-09-09 00:00:00+00:00,9,0
2011,2011250N12324,MARIA,2011-09-15 09:00:00.000039936+00:00,2011-09-15 12:00:00+00:00,9,12
2011,2011263N12323,OPHELIA,2011-10-02 12:00:00.000039936+00:00,2011-10-02 12:00:00+00:00,10,12
2011,2011310N29290,SEAN,2011-11-10 12:00:00.000039936+00:00,2011-11-10 12:00:00+00:00,11,12
2012,2012242N13333,LESLIE,2012-09-10 06:00:00.000039936+00:00,2012-09-10 06:00:00+00:00,9,6
2012,2012287N15297,RAFAEL,2012-10-16 12:00:00.000039936+00:00,2012-10-16 12:00:00+00:00,10,12
2014,2014180N32282,ARTHUR,2014-07-03 15:00:00.000039936+00:00,2014-07-03 18:00:00+00:00,7,18
2014,2014210N10323,BERTHA,2014-08-05 09:00:00.000039936+00:00,2014-08-05 12:00:00+00:00,8,12
2014,2014236N22288,CRISTOBAL,2014-08-27 15:00:00.000039936+00:00,2014-08-27 18:00:00+00:00,8,18
2014,2014285N16305,GONZALO,2014-10-17 03:00:00.000039936+00:00,2014-10-17 06:00:00+00:00,10,6
2017,2017224N22293,GERT,2017-08-15 18:00:00.000039936+00:00,2017-08-15 18:00:00+00:00,8,18
2017,2017277N11279,NATE,2017-10-08 06:00:00.000039936+00:00,2017-10-08 06:00:00+00:00,10,6
2018,2018186N10325,BERYL,2018-07-12 06:00:00.000039936+00:00,2018-07-12 06:00:00+00:00,7,6
2018,2018186N31292,CHRIS,2018-07-10 09:00:00.000039936+00:00,2018-07-10 12:00:00+00:00,7,12
2018,2018280N18273,MICHAEL,2018-10-10 15:00:00.000039936+00:00,2018-10-10 18:00:00+00:00,10,18
2019,2019236N10314,DORIAN,2019-09-05 15:00:00.000039936+00:00,2019-09-05 18:00:00+00:00,9,18
2020,2020256N11329,TEDDY,2020-09-21 06:00:00.000039936+00:00,2020-09-21 06:00:00+00:00,9,6
2020,2020291N32305,EPSILON,2020-10-24 06:00:00.000039936+00:00,2020-10-24 06:00:00+00:00,10,6
2021,2021169N23268,CLAUDETTE,2021-06-19 06:00:00.000039936+00:00,2021-06-19 06:00:00+00:00,6,6
2021,2021182N09317,ELSA,2021-07-07 21:00:00.000039936+00:00,2021-07-08 00:00:00+00:00,7,0
2021,2021239N17281,IDA,2021-08-31 00:00:00.000039936+00:00,2021-08-31 00:00:00+00:00,8,0
2021,2021244N12339,LARRY,2021-09-10 06:00:00.000039936+00:00,2021-09-10 06:00:00+00:00,9,6
2021,2021259N30286,ODETTE,2021-09-17 03:00:00.000039936+00:00,2021-09-17 06:00:00+00:00,9,6
2022,2022246N18301,EARL,2022-09-08 18:00:00.000039936+00:00,2022-09-08 18:00:00+00:00,9,18
2022,2022257N16312,FIONA,2022-09-22 12:00:00.000039936+00:00,2022-09-22 12:00:00+00:00,9,12
2023,2023193N37305,DON,2023-07-12 03:00:00.000039936+00:00,2023-07-12 06:00:00+00:00,7,6
2023,2023239N21274,IDALIA,2023-08-30 09:00:00.000039936+00:00,2023-08-30 12:00:00+00:00,8,12
2023,2023249N12320,LEE,2023-09-16 21:00:00.000039936+00:00,2023-09-17 00:00:00+00:00,9,0
