sid,season,name,detector,distance_threshold_km,lat_gate_degN,window_steps,zonal_threshold_km_6h,zonal_pre_max_km_6h,recurv_i,recurv_original_time_index,recurv_time,recurv_lat,recurv_lon,box_hit,min_dist_km,closest_proxy_idx,closest_proxy,nl_relevant
1962180N32282,1962,NOT_NAMED,zonal,600.0,25.0,4,30.0,30.0,17,17,1962-07-01 03:00:00.000040448,34.85211944580078,-75.46785736083984,True,91.84557914852708,1,Corner Brook region (west coast),True
1962272N15311,1962,DAISY,zonal,600.0,25.0,4,30.0,30.0,54,54,1962-10-06 00:00:00.000040448,29.200000762939453,-69.30000305175781,True,240.6026152374515,0,St. John's (Avalon Peninsula),True
1962287N23287,1962,ELLA,zonal,600.0,25.0,4,30.0,30.0,39,39,1962-10-19 03:00:00.000040448,30.679729461669922,-75.87501525878906,True,107.21313652306918,0,St. John's (Avalon Peninsula),True
1963213N11321,1963,ARLENE,zonal,600.0,25.0,4,30.0,30.0,63,63,1963-08-08 15:00:00.000040448,28.484909057617188,-69.62972259521484,False,535.8800111060029,0,St. John's (Avalon Peninsula),True
1963232N11313,1963,BEULAH,zonal,600.0,25.0,4,30.0,30.0,48,48,1963-08-26 00:00:00.000040448,29.0,-60.099998474121094,False,389.1217822123903,0,St. John's (Avalon Peninsula),True
1963291N26288,1963,GINNY,zonal,600.0,25.0,4,30.0,30.0,63,63,1963-10-25 15:00:00.000040448,31.97248649597168,-79.35230255126953,False,368.55853667780974,1,Corner Brook region (west coast),True
1964205N34279,1964,NOT_NAMED,zonal,600.0,25.0,4,30.0,30.0,15,15,1964-07-24 21:00:00.000040448,36.49222946166992,-74.60987091064453,True,230.4815117577991,1,Corner Brook region (west coast),True
1964234N13316,1964,CLEO,zonal,600.0,25.0,4,30.0,30.0,88,88,1964-08-31 00:00:00.000040448,35.099998474121094,-81.0999984741211,True,231.64201662206327,0,St. John's (Avalon Peninsula),True
1964242N14343,1964,DORA,zonal,600.0,25.0,4,30.0,30.0,120,120,1964-09-12 12:00:00.000040448,31.400001525878906,-84.19999694824219,True,88.5640461738967,2,Bonavista region (east-central coast),True
1964248N18324,1964,ETHEL,zonal,600.0,25.0,4,30.0,30.0,68,68,1964-09-12 18:00:00.000040448,31.900001525878906,-66.9000015258789,False,484.59521099715823,0,St. John's (Avalon Peninsula),True
