dataset_index,sid,season,name,detector,newfoundland_relevant,minimum_distance_to_newfoundland_km,closest_fraction_along_post_track,closest_at_track_endpoint,post_recurvature_duration_hours,recurv_index,recurv_time,recurv_lat,recurv_lon,pre_u_kmh,post_u_kmh,post_v_kmh,delta_u_kmh,nature_at_recurvature,status_at_recurvature
5362,1950224N17305,1950,ABLE,velocity,True,0.0,0.53750310095914,False,114.0,30,1950-08-19 12:00:00,30.700000762939453,-75.5,-2.446428385224534,10.706133723217672,24.55554276588187,13.152562108442206,TS,HU
5369,1950234N11334,1950,CHARLIE,velocity,True,417.20526123280194,0.9081740383352765,False,168.0,32,1950-08-29 12:00:00,29.5,-57.5,-8.293602996339166,5.526266357600815,13.899365830569831,13.819869353939982,TS,HU
5372,1950243N15304,1950,DOG,velocity,True,461.8324387052394,0.355911660454194,False,168.0,45,1950-09-11 00:00:00,33.29999923706055,-72.0999984741211,-8.304933837289362,7.672035636666967,26.4087986128742,15.976969473956329,TS,HU
5388,1950270N25309,1950,GEORGE,velocity,True,35.19863006098718,0.40476306079696023,False,96.0,25,1950-10-03 12:00:00,31.900001525878906,-67.5,-9.50227659040817,6.671467616193999,25.018847890651152,16.17374420660217,TS,HU
5484,1951246N13340,1951,FOX,velocity,True,533.455844326883,0.40606592483373544,False,60.0,24,1951-09-08 18:00:00,29.600000381469727,-57.900001525878906,-22.93335837428063,11.584013249146182,49.57439949351181,34.51737162342681,TS,HU
5492,1951272N20274,1951,HOW,velocity,True,517.1315027478698,0.3949645094788473,False,264.0,7,1951-09-30 18:00:00,25.0,-87.5999984741211,-1.267892861923523,6.657084297769597,6.023054991788749,7.924977159693119,TS,TS
5569,1952231N15341,1952,ABLE,velocity,True,312.47443610403354,1.0,True,72.0,52,1952-08-31 06:00:00,32.900001525878906,-80.80000305175781,-7.973003194729094,8.16702498813304,24.092219967154968,16.14002818286213,TS,HU
5575,1952244N15306,1952,BAKER,velocity,True,137.74292303348042,0.615235119303658,False,108.0,21,1952-09-05 12:00:00,32.70000076293945,-71.19999694824219,-3.1731559030803687,5.787497830295081,7.412988040054211,8.96065373337545,TS,HU
5661,1953223N23286,1953,BARBARA,velocity,True,18.57322637392477,0.7985426012329039,False,72.0,10,1953-08-13 18:00:00,33.400001525878906,-76.4000015258789,-1.9946740344154563,5.605622114965789,19.459098023631682,7.600296149381245,TS,HU
5669,1953240N14340,1953,CAROL,velocity,True,264.5036467076818,0.6372681650580921,False,66.0,38,1953-09-06 18:00:00,35.0,-70.0,-10.972916175060517,11.16629770663656,38.9182313951786,22.139213881697074,TS,HU
5758,1954244N21291,1954,DOLLY,velocity,True,124.39031126498645,0.5466570293941035,False,78.0,4,1954-09-01 12:00:00,28.799999237060547,-69.80000305175781,-5.143943885388885,22.172151566412168,50.50103625398679,27.316095451801054,TS,HU
5763,1954248N20295,1954,EDNA,velocity,True,278.1845331022052,0.7245939077526076,False,102.0,20,1954-09-10 00:00:00,29.600000381469727,-76.30000305175781,-2.8837219587314378,5.875399125616368,20.38573478410669,8.759121084347806,TS,HU
5858,1955219N16319,1955,DIANE,velocity,True,292.3739514961081,0.4706379021065185,False,144.0,42,1955-08-17 18:00:00,35.099998474121094,-78.4000015258789,-8.531024920742158,5.357056842388179,20.849048745854763,13.888081763130337,TS,TS
5875,1955253N14319,1955,IONE,velocity,True,0.0,0.37929627573717534,False,180.0,37,1955-09-19 12:00:00,34.79999923706055,-76.69999694824219,-5.492224821588922,9.304420871368777,10.656176935312036,14.796645692957698,TS,HU
5981,1956222N13313,1956,BETSY,velocity,True,409.40554674881247,0.6148605292012724,False,150.0,24,1956-08-15 06:00:00,27.799999237060547,-77.0,-8.338884303759093,7.300918780254863,9.72955784879465,15.639803084013955,TS,HU
6004,1956265N18274,1956,FLOSSY,velocity,True,12.724959358602527,1.0,True,234.0,11,1956-09-23 12:00:00,26.200000762939453,-91.30001068115234,-3.8194928866678493,9.765403787858983,14.825984917087219,13.584896674526831,TS,TS
6094,1957264N32294,1957,FRIEDA,velocity,True,0.0,0.9656652813750066,False,90.0,13,1957-09-23 18:00:00,28.0,-72.19999694824219,-9.90681668467074,8.713848768768065,19.459115697589297,18.620665453438804,TS,TS
6184,1958223N12340,1958,CLEO,velocity,True,498.3180292930172,0.36560207046420207,False,108.0,28,1958-08-18 06:00:00,31.799999237060547,-56.39999771118164,-12.158069610782746,5.631777878249247,26.872103737643513,17.78984748903199,TS,HU
6188,1958236N25287,1958,DAISY,velocity,True,499.6456350339398,0.8863438801628151,False,102.0,12,1958-08-26 18:00:00,28.5,-77.0999984741211,-5.337000521608382,6.074349099784924,5.096435905271363,11.411349621393306,TS,HU
6208,1958264N17308,1958,HELENE,velocity,True,0.0,0.3985445991036414,False,174.0,23,1958-09-27 00:00:00,31.599998474121094,-78.30000305175781,-14.381383058774775,9.194262242604506,14.362688629296734,23.575645301379282,TS,HU
6273,1959169N26274,1959,NOT_NAMED,velocity,True,0.0,0.4550926416032557,False,42.0,11,1959-06-20 18:00:00,45.599998474121094,-63.0,-1.4038995926152245,36.60204063823384,12.046127657535088,38.00594023084906,ET,EX
6281,1959186N32281,1959,CINDY,velocity,True,81.61715599434577,0.929985753058139,False,78.0,20,1959-07-09 12:00:00,33.70000076293945,-80.0999984741211,-7.796393984723846,8.328448957214775,10.192871810542725,16.12484294193862,TS,TS
6313,1959252N32293,1959,NOT_NAMED,velocity,True,81.41134336133346,0.7493887051627457,False,78.0,7,1959-09-10 18:00:00,36.0,-70.0,-11.42762555537751,11.425118649797199,20.38572594712786,22.85274420517471,TS,TS
6389,1960210N28275,1960,BRENDA,velocity,True,532.8274700482915,1.0,True,240.0,4,1960-07-28 18:00:00,27.80000114440918,-85.30000305175781,-0.820824527741479,22.315066757142958,23.165600880637598,23.135891284884437,TS,TS
6410,1960243N10337,1960,DONNA,velocity,True,422.3116732249122,0.7840148984666168,False,90.0,48,1960-09-10 18:00:00,26.299999237060547,-81.80000305175781,-10.101459823840162,7.638433002900436,22.238990631099036,17.7398928267406,TS,HU
6538,1961254N11329,1961,ESTHER,velocity,True,587.549988757025,1.0,True,162.0,40,1961-09-20 12:00:00,35.0,-73.30000305175781,-5.497290716772844,6.550613669643116,25.01886556460877,12.047904386415961,TS,HU
6546,1961273N16302,1961,FRANCES,velocity,True,273.986237465721,1.0,True,132.0,18,1961-10-04 18:00:00,25.399999618530273,-71.5999984741211,-8.54351082811006,5.30157851640317,17.142554725827654,13.84508934451323,TS,HU
