dataset_index,sid,season,name,recurv_time,box_hit,minimum_proxy_distance_km,recurv_index,recurv_lat,recurv_lon,legacy_pre_zonal_km_per_increment,legacy_post_zonal_km_per_increment
5362,1950224N17305,1950,ABLE,1950-08-20 00:00:00,True,26.364536080526893,64,32.79999923706055,-75.19999694824219,1.9691552949499227,42.7948506036232
5369,1950234N11334,1950,CHARLIE,1950-09-03 21:00:00,False,483.5204553515146,107,36.4349365234375,-60.437198638916016,13.503243017741367,31.21269669498837
5372,1950243N15304,1950,DOG,1950-09-11 15:00:00,False,551.8907706095681,95,37.1793212890625,-71.73108673095703,4.4498576398759635,41.51038994988401
5388,1950270N25309,1950,GEORGE,1950-10-04 00:00:00,True,120.53223333215256,54,34.20000076293945,-68.0,-18.82118437248192,31.11830002530361
5569,1952231N15341,1952,ABLE,1952-08-31 18:00:00,False,410.07493252311394,108,35.400001525878906,-80.5999984741211,-4.943275604469086,33.60394349656558
5575,1952244N15306,1952,BAKER,1952-09-06 09:00:00,True,194.853961307817,49,33.96261215209961,-70.08002471923828,13.923658479734405,32.1319801940048
5661,1953223N23286,1953,BARBARA,1953-08-14 12:00:00,True,98.6878763656687,27,36.599998474121094,-75.69999694824219,6.798959495484683,40.289584556894965
5669,1953240N14340,1953,CAROL,1953-09-07 03:00:00,True,310.00446323173236,79,37.914100646972656,-70.40648651123047,-25.072996697717624,45.14052959442006
5687,1953277N23279,1953,NOT_NAMED,1953-10-05 00:00:00,True,92.99865867222549,10,25.30000114440918,-79.69999694824219,13.417812179468978,30.712179025790277
5689,1953280N21274,1953,HAZEL,1953-10-09 06:00:00,True,331.4535280782381,16,25.200000762939453,-84.4000015258789,26.32322734907975,66.13052619563467
5728,1954169N26279,1954,NOT_NAMED,1954-06-20 09:00:00,False,350.26370304139795,19,27.80750274658203,-79.82992553710938,12.364988227222609,31.900484499251093
5758,1954244N21291,1954,DOLLY,1954-09-01 18:00:00,True,205.22365813321758,10,31.700002670288086,-69.80000305175781,-1.5451454764651622,30.163594938830457
5763,1954248N20295,1954,EDNA,1954-09-10 18:00:00,True,316.3291005377174,46,32.70000076293945,-75.5,11.01359368629289,32.262438776427786
5858,1955219N16319,1955,DIANE,1955-08-18 09:00:00,True,390.3343411217255,89,38.33726501464844,-78.54773712158203,-8.999849144958807,41.092964206790924
5875,1955253N14319,1955,IONE,1955-09-20 00:00:00,True,93.0053479465757,79,36.0,-76.4000015258789,2.2091306183863093,34.482819846955586
5981,1956222N13313,1956,BETSY,1956-08-16 03:00:00,False,502.1627220103305,55,29.56974220275879,-75.47935485839844,24.359508932111563,33.67825959608024
5994,1956251N25285,1956,CARLA,1956-09-09 00:00:00,True,308.9071081406497,16,30.69999885559082,-72.5,16.347822778760957,30.50873554718438
6004,1956265N18274,1956,FLOSSY,1956-09-24 00:00:00,True,193.7279841273853,26,28.0,-90.90000915527344,1.324714562007283,37.90791744116045
6094,1957264N32294,1957,FRIEDA,1957-09-24 06:00:00,True,51.38037715275875,30,30.399999618530273,-72.0,-3.3797111240222315,38.999814711721136
6184,1958223N12340,1958,CLEO,1958-08-19 00:00:00,False,529.6309220493624,62,35.79999923706055,-55.70000076293945,12.038018255241372,48.78892076527421
6188,1958236N25287,1958,DAISY,1958-08-28 21:00:00,False,596.441288637582,41,35.49191665649414,-74.08733367919922,11.715496357457573,33.27927159399082
6208,1958264N17308,1958,HELENE,1958-09-27 12:00:00,True,40.26095455624119,50,33.099998474121094,-78.5,-17.52464029949776,40.6888056395472
6216,1958289N21291,1958,NOT_NAMED,1958-10-16 18:00:00,True,285.5295006540239,8,25.500001907348633,-66.80000305175781,24.649907091789014,37.07009551830213
6273,1959169N26274,1959,NOT_NAMED,1959-06-20 18:00:00,True,29.021504311199667,23,45.599998474121094,-63.0,-35.994339835546945,57.591885585226876
6281,1959186N32281,1959,CINDY,1959-07-10 00:00:00,True,119.27825582419787,45,34.5,-79.9000015258789,-4.078946616488015,35.50787712024275
6313,1959252N32293,1959,NOT_NAMED,1959-09-11 03:00:00,True,160.78924109042225,17,37.86417007446289,-70.28375244140625,-18.034926282948184,38.96927728376849
6389,1960210N28275,1960,BRENDA,1960-07-28 21:00:00,False,570.0587186905364,9,28.074325561523438,-85.26107788085938,2.4657404300559476,43.78079859503187
6410,1960243N10337,1960,DONNA,1960-09-11 06:00:00,False,456.7254936713021,105,28.299999237060547,-81.69999694824219,-6.482272196435687,32.58096810455077
6546,1961273N16302,1961,FRANCES,1961-10-05 12:00:00,True,449.315312125724,44,28.399999618530273,-70.9000015258789,14.491753970227181,30.628722792850148
6554,1961290N20282,1961,GERDA,1961-10-18 21:00:00,True,349.67952925588014,15,25.0347843170166,-76.80948638916016,17.80798141293397,55.084476602178384
6618,1962180N32282,1962,NOT_NAMED,1962-07-01 03:00:00,True,91.84557914852708,17,34.85211944580078,-75.46785736083984,9.078473495013794,36.48762204333435
6662,1962272N15311,1962,DAISY,1962-10-06 00:00:00,True,240.6026152374515,54,29.200000762939453,-69.30000305175781,2.9633436697193387,30.105605323691528
6666,1962287N23287,1962,ELLA,1962-10-19 03:00:00,True,107.21313652306918,39,30.679729461669922,-75.87501525878906,-4.817916958695789,33.469269709909426
6756,1963213N11321,1963,ARLENE,1963-08-08 15:00:00,False,535.8800111060029,63,28.484909057617188,-69.62972259521484,12.266923035858706,34.10882030109523
6760,1963232N11313,1963,BEULAH,1963-08-26 00:00:00,False,389.1217822123903,48,29.0,-60.099998474121094,-1.4972590232352982,35.682046542171896
