dataset_index,sid,season,name,detector,newfoundland_relevant,minimum_distance_to_newfoundland_km,closest_fraction_along_post_track,closest_at_track_endpoint,post_recurvature_duration_hours,recurv_index,recurv_time,recurv_lat,recurv_lon,pre_heading_deg,post_heading_deg,heading_change_deg,nature_at_recurvature,status_at_recurvature
5362,1950224N17305,1950,ABLE,heading,True,0.0,0.5468850637997077,False,120.0,29,1950-08-19 06:00:00,29.899999618530273,-75.5,339.5187235992743,12.569381269304166,33.050657670029864,TS,HU
5369,1950234N11334,1950,CHARLIE,heading,True,417.20526123280194,0.9127410371036867,False,174.0,31,1950-08-29 06:00:00,28.299999237060547,-57.29999923706055,331.5857253389317,9.378421471954649,37.79269613302296,TS,HU
5372,1950243N15304,1950,DOG,heading,True,461.8324387052394,0.4657393590373836,False,288.0,25,1950-09-06 00:00:00,26.100000381469727,-68.4000015258789,328.77197128979213,7.210062445326414,38.438091155534266,TS,HU
5388,1950270N25309,1950,GEORGE,heading,True,35.19863006098718,0.40476306079696023,False,96.0,25,1950-10-03 12:00:00,31.900001525878906,-67.5,298.20640973804126,14.93093578190426,76.72452604386302,TS,HU
5484,1951246N13340,1951,FOX,heading,True,533.455844326883,0.40606592483373544,False,60.0,24,1951-09-08 18:00:00,29.600000381469727,-57.900001525878906,322.71004987585104,13.152274338820456,50.44222446296942,TS,HU
5492,1951272N20274,1951,HOW,heading,True,517.1315027478698,0.3949645094788473,False,264.0,7,1951-09-30 18:00:00,25.0,-87.5999984741211,353.2147346358258,47.86250592544008,54.6477712896143,TS,TS
5569,1952231N15341,1952,ABLE,heading,True,312.47443610403354,1.0,True,72.0,52,1952-08-31 06:00:00,32.900001525878906,-80.80000305175781,335.63610392856094,18.72615209265217,43.09004816409123,TS,HU
5575,1952244N15306,1952,BAKER,heading,True,137.74292303348042,0.6213571002234676,False,114.0,20,1952-09-05 06:00:00,32.20000076293945,-71.0999984741211,343.50120814520903,21.287295529635763,37.78608738442671,TS,HU
5661,1953223N23286,1953,BARBARA,heading,True,18.57322637392477,0.7882947730251493,False,66.0,11,1953-08-14 00:00:00,34.599998474121094,-76.19999694824219,358.7177172976672,31.760973590494118,33.043256292826925,TS,HU
5669,1953240N14340,1953,CAROL,heading,True,264.5036467076818,0.6372681650580921,False,66.0,38,1953-09-06 18:00:00,35.0,-70.0,335.090562785537,16.009079196113245,40.918516410576274,TS,HU
5758,1954244N21291,1954,DOLLY,heading,True,124.39031126498645,0.5466570293941035,False,78.0,4,1954-09-01 12:00:00,28.799999237060547,-69.80000305175781,352.381023620163,23.703563782927866,31.32254016276488,TS,HU
5763,1954248N20295,1954,EDNA,heading,True,278.1845331022052,0.7312543364338497,False,108.0,19,1954-09-09 18:00:00,28.80000114440918,-76.5,338.67783549858444,12.407200556962955,33.729365058378505,TS,HU
5858,1955219N16319,1955,DIANE,heading,True,292.3739514961081,0.4706379021065185,False,144.0,42,1955-08-17 18:00:00,35.099998474121094,-78.4000015258789,331.56165759476465,14.410134215564328,42.84847662079966,TS,TS
5875,1955253N14319,1955,IONE,heading,True,0.0,0.3899877995606903,False,186.0,36,1955-09-19 06:00:00,33.79999923706055,-76.5,342.84500220471983,12.927701854262082,30.082699649542235,TS,HU
5981,1956222N13313,1956,BETSY,heading,True,409.40554674881247,0.6274927120622449,False,162.0,22,1956-08-14 18:00:00,26.5,-76.69999694824219,313.91975552884907,10.753680592568916,56.833925063719846,TS,HU
6004,1956265N18274,1956,FLOSSY,heading,True,12.724959358602527,1.0,True,234.0,11,1956-09-23 12:00:00,26.200000762939453,-91.30001068115234,350.0514186491197,33.37162285894009,43.32020420982042,TS,TS
6094,1957264N32294,1957,FRIEDA,heading,True,0.0,0.9656652813750066,False,90.0,13,1957-09-23 18:00:00,28.0,-72.19999694824219,301.2983786698412,24.122974393275317,82.82459572343413,TS,TS
6184,1958223N12340,1958,CLEO,heading,True,498.3180292930172,0.36560207046420207,False,108.0,28,1958-08-18 06:00:00,31.799999237060547,-56.39999771118164,332.77227601571207,11.836570814839668,39.064294799127595,TS,HU
6188,1958236N25287,1958,DAISY,heading,True,499.6456350339398,0.88935217243665,False,114.0,10,1958-08-26 06:00:00,27.80000114440918,-76.80000305175781,314.26954220162844,12.269927816920537,58.00038561529209,TS,HU
6208,1958264N17308,1958,HELENE,heading,True,0.0,0.3985445991036414,False,174.0,23,1958-09-27 00:00:00,31.599998474121094,-78.30000305175781,304.0798364892996,32.625303225742954,88.54546673644336,TS,HU
6273,1959169N26274,1959,NOT_NAMED,heading,True,0.0,0.4550926416032557,False,42.0,11,1959-06-20 18:00:00,45.599998474121094,-63.0,356.0604468537762,71.78306520031012,75.72261834653386,ET,EX
6281,1959186N32281,1959,CINDY,heading,True,81.61715599434577,0.9315253708321987,False,84.0,19,1959-07-09 06:00:00,33.20000076293945,-79.80000305175781,294.8951038906186,14.431107237376434,79.53600334675781,TS,TS
6313,1959252N32293,1959,NOT_NAMED,heading,True,81.41134336133346,0.7493887051627457,False,78.0,7,1959-09-10 18:00:00,36.0,-70.0,314.217052728273,29.268318944486712,75.05126621621372,TS,TS
6410,1960243N10337,1960,DONNA,heading,True,422.3116732249122,0.7840148984666168,False,90.0,48,1960-09-10 18:00:00,26.299999237060547,-81.80000305175781,320.0179630923903,18.95607498993495,58.93811189754467,TS,HU
6538,1961254N11329,1961,ESTHER,heading,True,587.549988757025,1.0,True,168.0,39,1961-09-20 06:00:00,33.900001525878906,-73.19999694824219,334.2645281615623,8.515994748547849,34.25146658698554,TS,HU
6546,1961273N16302,1961,FRANCES,heading,True,273.986237465721,1.0,True,132.0,18,1961-10-04 18:00:00,25.399999618530273,-71.5999984741211,339.37728048021347,17.184966289807694,37.807685809594204,TS,HU
6618,1962180N32282,1962,NOT_NAMED,heading,True,0.0,0.6671241981059892,False,126.0,8,1962-07-01 00:00:00,35.0,-75.69999694824219,348.21277608519307,84.05999533034966,95.84721924515657,TS,TS
6662,1962272N15311,1962,DAISY,heading,True,101.36733198238755,0.9919647448839746,False,96.0,24,1962-10-05 06:00:00,26.0,-69.5999984741211,313.5406349852506,10.26885523702076,56.72822025177015,TS,HU
6666,1962287N23287,1962,ELLA,heading,True,24.186072752550313,0.4718612776697002,False,162.0,17,1962-10-18 12:00:00,29.799999237060547,-75.80000305175781,347.12530587248125,48.874649841596764,61.7493439691155,TS,HU
6756,1963213N11321,1963,ARLENE,heading,True,482.60558113810123,0.4653440377181107,False,156.0,27,1963-08-07 12:00:00,26.399999618530273,-70.30000305175781,318.9900403797818,10.497382360331715,51.50734198054988,TS,TD
6760,1963232N11313,1963,BEULAH,heading,True,375.5259808856047,0.244887262304246,False,336.0,23,1963-08-25 18:00:00,27.80000114440918,-60.400001525878906,351.20315880328656,29.754439284667235,38.55128048138067,TS,HU
6793,1963291N26288,1963,GINNY,heading,True,281.35738101142084,1.0,True,234.0,11,1963-10-20 12:00:00,33.5,-75.0,315.0322270043783,33.32851525900597,78.29628825462771,TS,HU
6876,1964234N13316,1964,CLEO,heading,True,219.8334363066302,0.614772681989606,False,288.0,37,1964-08-30 00:00:00,32.900001525878906,-81.9000015258789,346.42915578308555,16.615946562647316,30.18679077956176,TS,TS
6883,1964242N14343,1964,DORA,heading,True,0.0,0.9179336698367201,False,108.0,56,1964-09-11 12:00:00,30.399999618530273,-84.4000015258789,281.3658330996823,9.58044617333917,88.21461307365689,TS,TS
6887,1964248N18324,1964,ETHEL,heading,True,417.07171845441275,0.4952104599580221,False,132.0,31,1964-09-12 00:00:00,29.5,-67.0,336.2649399286549,12.554486080453561,36.289546151798675,TS,HU
6893,1964257N15316,1964,GLADYS,heading,True,0.0,0.9527343706219887,False,54.0,38,1964-09-22 18:00:00,34.20000076293945,-72.19999694824219,318.6991440109754,18.92656999927878,60.22742598830342,TS,HU
7101,1966194N17303,1966,CELIA,heading,True,0.0,0.861508204789008,False,78.0,24,1966-07-19 00:00:00,25.399999618530273,-76.5,356.2680660381862,35.360191503330114,39.09212546514391,TS,TD
7279,1967241N16324,1967,ARLENE,heading,True,289.28022388478627,0.6077443232240364,False,84.0,18,1967-09-02 06:00:00,33.20000076293945,-56.79999923706055,325.03981772669874,14.802502352483039,49.76268462578429,TS,TS
7286,1967248N15341,1967,CHLOE,heading,True,570.8799431674785,0.18038765553608832,False,132.0,46,1967-09-16 06:00:00,36.70000076293945,-57.79999923706055,337.99488686845393,26.740656392860387,48.745769524406455,TS,HU
7318,1967287N27289,1967,NOT_NAMED,heading,True,344.7460678785105,1.0,True,54.0,11,1967-10-17 00:00:00,30.600000381469727,-73.0,329.93543861880164,7.685534948532256,37.75009632973064,SS,SS
7449,1968288N14280,1968,GLADYS,heading,True,223.26150245524812,1.0,True,90.0,18,1968-10-18 00:00:00,26.700000762939453,-84.19999694824219,341.27291348428275,31.303397184316466,50.0304837000337,TS,HU
