threshold_km,events,irr_per_decade,ci_low,ci_high,p_value,dispersion,satellite_events,satellite_irr_per_decade,satellite_ci_low,satellite_ci_high,satellite_p_value,satellite_hac_ci_low,satellite_hac_ci_high,satellite_hac_p_value,satellite_eligible_or,satellite_eligible_ci_low,satellite_eligible_ci_high,satellite_eligible_p_value,satellite_recurver_or,satellite_recurver_ci_low,satellite_recurver_ci_high,satellite_recurver_p_value
300,95,1.0227601381794742,0.9308062010604137,1.1237981644913908,0.6396336398616529,0.738986432252359,60,1.0696124247296577,0.8798669736577528,1.300276943433808,0.49939517922158394,0.9355644855806771,1.2228667898033418,0.324595355844696,0.9768069272896469,0.797014055374345,1.1971580259684271,0.8211184363268725,0.9467146437976524,0.7584075995954987,1.1817769458783722,0.6284342987438571
500,132,1.0023273315330063,0.9253872951467373,1.0856644399670192,0.9545071048182376,0.9220574365007033,80,1.0794856186417054,0.911424547021571,1.2785361165247242,0.3757094215082407,0.9496594179603174,1.2270601215718775,0.2420317823946574,0.985911487046841,0.8228572868682393,1.1812758734754438,0.8777443186926613,0.9534794102057453,0.7786440576170773,1.1675719820793722,0.6448429458178133
600,144,0.9989351172773046,0.9253970621542915,1.0783169834220276,0.9782127892889106,0.9127763118450621,86,1.109362778286254,0.9419146913372217,1.3065788071527058,0.21379448364461662,0.9795820272961017,1.2563376415183989,0.10204657035706895,1.0173870386533406,0.8530380466665786,1.2134000241426366,0.8479312298898983,0.9911816759672495,0.81236450821084,1.209359966915571,0.9304636098333195
800,188,0.9936081499257865,0.9292856071618512,1.06238291865312,0.8510406321757018,0.9567127624053214,109,1.15558747265377,0.9985270084317658,1.3373523156390226,0.05235268581421051,1.0354295772399749,1.2896892616433677,0.00983613130696325,1.071093315048919,0.9106608632031332,1.2597893858172509,0.40677231667004965,1.0608310153052725,0.8771799172825037,1.2829322934341443,0.5426124853466241
1000,225,1.003464167231575,0.9439176848760594,1.0667671037967406,0.9117762378133852,1.0167792438157561,132,1.1870355687829028,1.0388853325542449,1.356312768504869,0.0117063199949998,1.0927989018027389,1.289398661758628,4.849341082118425e-05,1.1148198607080957,0.9566067636355513,1.2991998060999597,0.16395325774367042,1.130483474789726,0.9368755547183504,1.3641010060902397,0.2006636694295133
