sample,n,mean_slope_km_per_decade,mean_ci_low,mean_ci_high,mean_p_value,median_slope_km_per_decade,median_ci_low,median_ci_high,median_p_value
All detected recurvers,417,25.917745704241582,-10.068671740993004,61.90416314947617,0.15806486847630208,38.08424497643906,-11.009064816823283,87.1775547697014,0.12915329783751384
Excluding endpoint minima,249,16.940059885339885,-20.574992869195363,54.45511263987513,0.376132253450445,14.7086521712489,-39.01598197150336,68.43328631400115,0.5920228121515352
