dataset_index,sid,season,name,detector,newfoundland_relevant,minimum_distance_to_newfoundland_km,closest_fraction_along_post_track,closest_at_track_endpoint,post_recurvature_duration_hours,recurv_index,recurv_time,recurv_lat,recurv_lon,pre_u_kmh,post_u_kmh,post_v_kmh,delta_u_kmh,nature_at_recurvature,status_at_recurvature
5362,1950224N17305,1950,ABLE,velocity,True,0.0,0.53750310095914,False,114.0,30,1950-08-19 12:00:00,30.700000762939453,-75.5,-2.446428385224534,10.706133723217672,24.55554276588187,13.152562108442206,TS,HU
5369,1950234N11334,1950,CHARLIE,velocity,True,417.20526123280194,0.9081740383352765,False,168.0,32,1950-08-29 12:00:00,29.5,-57.5,-8.293602996339166,5.526266357600815,13.899365830569831,13.819869353939982,TS,HU
5372,1950243N15304,1950,DOG,velocity,True,461.8324387052394,0.355911660454194,False,168.0,45,1950-09-11 00:00:00,33.29999923706055,-72.0999984741211,-8.304933837289362,7.672035636666967,26.4087986128742,15.976969473956329,TS,HU
5377,1950251N16319,1950,FOX,velocity,False,860.1800282888912,0.7596211329831114,False,60.0,27,1950-09-15 00:00:00,25.899999618530273,-59.70000076293945,-8.026097153201961,5.963581894234557,31.041911719418692,13.989679047436518,TS,HU
5388,1950270N25309,1950,GEORGE,velocity,True,35.19863006098718,0.40476306079696023,False,96.0,25,1950-10-03 12:00:00,31.900001525878906,-67.5,-9.50227659040817,6.671467616193999,25.018847890651152,16.17374420660217,TS,HU
5394,1950285N22313,1950,JIG,velocity,False,856.4520923315979,0.6158215863735806,False,78.0,13,1950-10-14 18:00:00,29.899999618530273,-60.099998474121094,-13.924642511728631,6.18439692769249,19.459106860610504,20.10903943942112,TS,HU
5399,1950290N22318,1950,NOT_NAMED,velocity,False,2150.475978351486,0.6620828326039478,False,144.0,6,1950-10-18 18:00:00,25.399999618530273,-44.900001525878906,-6.781080139778098,7.834534348937668,12.97275558103127,14.615614488715766,TS,TS
5409,1950314N34302,1950,NOT_NAMED,velocity,False,1004.7076053827973,1.0,True,30.0,4,1950-11-11 00:00:00,34.29999923706055,-61.0,-9.633666647092461,15.080083011142152,12.046127657535088,24.71374965823461,TS,TS
5446,1951136N32292,1951,ABLE,velocity,False,762.2099125847792,1.0,True,162.0,8,1951-05-18 00:00:00,27.099998474121094,-78.5999984741211,-4.446651005920505,5.775346621572212,1.389941885244272,10.221997627492717,TS,HU
5467,1951214N21307,1951,BAKER,velocity,False,712.3563478293381,1.0,True,36.0,8,1951-08-04 06:00:00,30.399999618530273,-60.5,-14.78792776627778,6.348676851314174,30.578606594649415,21.136604617591956,TS,TS
5483,1951244N13328,1951,EASY,velocity,False,815.0096748384046,0.40770922910088037,False,156.0,28,1951-09-08 06:00:00,27.100000381469727,-67.5999984741211,-12.620820933813414,8.506685317974974,12.97272907009487,21.12750625178839,TS,HU
5484,1951246N13340,1951,FOX,velocity,True,533.455844326883,0.40606592483373544,False,60.0,24,1951-09-08 18:00:00,29.600000381469727,-57.900001525878906,-22.93335837428063,11.584013249146182,49.57439949351181,34.51737162342681,TS,HU
5492,1951272N20274,1951,HOW,velocity,True,517.1315027478698,0.3949645094788473,False,264.0,7,1951-09-30 18:00:00,25.0,-87.5999984741211,-1.267892861923523,6.657084297769597,6.023054991788749,7.924977159693119,TS,TS
5569,1952231N15341,1952,ABLE,velocity,True,312.47443610403354,1.0,True,72.0,52,1952-08-31 06:00:00,32.900001525878906,-80.80000305175781,-7.973003194729094,8.16702498813304,24.092219967154968,16.14002818286213,TS,HU
5575,1952244N15306,1952,BAKER,velocity,True,137.74292303348042,0.615235119303658,False,108.0,21,1952-09-05 12:00:00,32.70000076293945,-71.19999694824219,-3.1731559030803687,5.787497830295081,7.412988040054211,8.96065373337545,TS,HU
5584,1952268N20291,1952,CHARLIE,velocity,False,684.9988150401665,0.7742038694682307,False,126.0,7,1952-09-25 18:00:00,26.5,-74.5999984741211,-12.24531111002406,6.039255552638585,17.605851013618143,18.284566662662645,TS,HU
5661,1953223N23286,1953,BARBARA,velocity,True,18.57322637392477,0.7985426012329039,False,72.0,10,1953-08-13 18:00:00,33.400001525878906,-76.4000015258789,-1.9946740344154563,5.605622114965789,19.459098023631682,7.600296149381245,TS,HU
5669,1953240N14340,1953,CAROL,velocity,True,264.5036467076818,0.6372681650580921,False,66.0,38,1953-09-06 18:00:00,35.0,-70.0,-10.972916175060517,11.16629770663656,38.9182313951786,22.139213881697074,TS,HU
5671,1953251N18295,1953,DOLLY,velocity,False,654.4018035314467,0.561394501449123,False,132.0,11,1953-09-11 00:00:00,25.899999618530273,-70.5,-2.566171547959395,17.014212792353845,25.018856727629945,19.58038434031324,TS,HU
5675,1953258N19296,1953,EDNA,velocity,False,602.7604357236723,0.4499811678337998,False,120.0,7,1953-09-16 18:00:00,25.799999237060547,-71.0999984741211,-13.181376127768564,14.185226754199867,22.70230459284711,27.366602881968433,TS,HU
5676,1953259N23270,1953,NOT_NAMED,velocity,False,2999.2224360919727,1.0,True,48.0,13,1953-09-19 00:00:00,27.30000114440918,-86.69999694824219,-3.335724467439119,6.526623368727859,6.9496740783061215,9.862347836166977,TS,TD
5680,1953267N15282,1953,FLORENCE,velocity,False,2651.04024121499,1.0,True,48.0,9,1953-09-25 18:00:00,25.899999618530273,-87.5,-8.981552373963952,5.690959341406624,22.23899063109902,14.672511715370575,TS,HU
5685,1953275N13325,1953,GAIL,velocity,False,1443.681181497234,1.0,True,36.0,34,1953-10-10 18:00:00,27.0,-61.5,-13.780107254397809,6.808627277141618,21.312353870624044,20.588734531539426,TS,TS
5754,1954238N24285,1954,CAROL,velocity,False,829.0184755791477,1.0,True,54.0,18,1954-08-30 00:00:00,31.100000381469727,-77.80000305175781,-1.1980290897379888,6.595230236390408,14.362679792317909,7.793259326128396,TS,HU
5758,1954244N21291,1954,DOLLY,velocity,True,124.39031126498645,0.5466570293941035,False,78.0,4,1954-09-01 12:00:00,28.799999237060547,-69.80000305175781,-5.143943885388885,22.172151566412168,50.50103625398679,27.316095451801054,TS,HU
5763,1954248N20295,1954,EDNA,velocity,True,278.1845331022052,0.7245939077526076,False,102.0,20,1954-09-10 00:00:00,29.600000381469727,-76.30000305175781,-2.8837219587314378,5.875399125616368,20.38573478410669,8.759121084347806,TS,HU
5777,1954268N29304,1954,NOT_NAMED,velocity,False,1294.1222457007714,0.3448222677012935,False,90.0,32,1954-10-03 06:00:00,31.099998474121094,-55.900001525878906,-7.178866358182103,6.670664147689727,6.4863777905156494,13.84953050587183,TS,HU
