dataset_index,sid,season,baseline_distance_km,alternative_distance_km,absolute_difference_km,baseline_relevant,alternative_relevant
5362,1950224N17305,1950,0.0,0.0,0.0,True,True
5369,1950234N11334,1950,417.20526123280194,411.22841431859496,5.9768469142069875,True,True
5372,1950243N15304,1950,461.8324387052394,453.28855428848277,8.543884416756612,True,True
5377,1950251N16319,1950,860.1800282888912,841.2096316725264,18.970396616364837,False,False
5388,1950270N25309,1950,35.19863006098718,35.618665838462576,0.4200357774753982,True,True
5394,1950285N22313,1950,856.4520923315979,835.744984415489,20.707107916108953,False,False
5399,1950290N22318,1950,2150.475978351486,2098.878309434704,51.59766891678191,False,False
5409,1950314N34302,1950,1004.7076053827973,973.6100675218945,31.097537860902776,False,False
5446,1951136N32292,1951,762.2099125847792,744.0636000770243,18.146312507754942,False,False
5467,1951214N21307,1951,712.3563478293381,695.5187643396072,16.837583489730946,False,False
5483,1951244N13328,1951,815.0096748384046,793.0715009785454,21.938173859859262,False,False
5484,1951246N13340,1951,533.455844326883,523.4661250570371,9.989719269845978,True,True
5492,1951272N20274,1951,517.1315027478698,507.2116466656719,9.919856082197953,True,True
5569,1952231N15341,1952,312.47443610403354,311.5279296493382,0.9465064546953386,True,True
5575,1952244N15306,1952,137.74292303348042,136.3927289642293,1.3501940692511312,True,True
5584,1952268N20291,1952,684.9988150401665,668.5665986351654,16.4322164050011,False,False
5661,1953223N23286,1953,18.57322637392477,18.424812703372112,0.14841367055265664,True,True
5669,1953240N14340,1953,264.5036467076818,266.7040750675277,2.200428359845887,True,True
5671,1953251N18295,1953,654.4018035314467,640.149244059991,14.252559471455697,False,False
5675,1953258N19296,1953,602.7604357236723,590.9336935066759,11.826742216996422,False,True
5676,1953259N23270,1953,2999.2224360919727,2838.597956964386,160.6244791275867,False,False
5680,1953267N15282,1953,2651.04024121499,2534.9291593900252,116.11108182496491,False,False
5685,1953275N13325,1953,1443.681181497234,1385.0348796381325,58.64630185910164,False,False
5754,1954238N24285,1954,829.0184755791477,826.7611322268483,2.2573433522993582,False,False
5758,1954244N21291,1954,124.39031126498645,123.17688435398969,1.213426910996759,True,True
5763,1954248N20295,1954,278.1845331022052,280.9259659862961,2.741432884090898,True,True
5777,1954268N29304,1954,1294.1222457007714,1250.6405176430667,43.481728057704686,False,False
5782,1954278N12302,1954,1366.8757164234341,1392.650799706424,25.775083282989954,False,False
5858,1955219N16319,1955,292.3739514961081,288.6107771987798,3.7631742973283053,True,True
5863,1955234N11318,1955,678.7103591922564,662.7348910980133,15.97546809424307,False,False
5871,1955245N19329,1955,701.7564932127972,687.2164062200867,14.540086992710485,False,False
5875,1955253N14319,1955,0.0,0.0,0.0,True,True
5882,1955267N20315,1955,925.6402908208901,906.1493823389443,19.49090848194578,False,False
5890,1955283N29318,1955,1600.2148096901826,1561.6083253840513,38.60648430613128,False,False
5954,1956159N34285,1956,1356.375301399562,1313.884058193964,42.49124320559804,False,False
5981,1956222N13313,1956,409.40554674881247,402.3223677966177,7.083178952194771,True,True
6004,1956265N18274,1956,12.724959358602527,12.650979425665502,0.07397993293702498,True,True
6010,1956289N23280,1956,1199.2809284691361,1169.0982307653853,30.18269770375082,False,False
6065,1957176N21267,1957,2007.4972079740185,1961.1789542003282,46.31825377369023,False,False
6082,1957245N13339,1957,1299.133236806523,1251.8109334558635,47.32230335065947,False,False
6094,1957264N32294,1957,0.0,0.0,0.0,True,True
6107,1957296N23302,1957,1022.1117456066622,990.2141256344547,31.897619972207508,False,False
6183,1958221N17340,1958,624.2976963840295,613.6466124477782,10.651083936251212,False,False
6184,1958223N12340,1958,498.3180292930172,490.6927933349175,7.625235958099722,True,True
6188,1958236N25287,1958,499.6456350339398,489.95474362679875,9.690891407141066,True,True
6195,1958248N10315,1958,2163.2731981961556,2046.6307589744197,116.64243922173591,False,False
6202,1958257N17293,1958,3531.739966252003,3379.106035351616,152.63393090038699,False,False
6208,1958264N17308,1958,0.0,0.0,0.0,True,True
6209,1958267N18309,1958,619.209864052032,608.5401054505185,10.669758601513536,False,False
6273,1959169N26274,1959,0.0,0.0,0.0,True,True
6281,1959186N32281,1959,81.61715599434577,81.98519430218047,0.36803830783470914,True,True
6305,1959240N34306,1959,1051.2890401059738,1023.7931929702088,27.49584713576496,False,False
6313,1959252N32293,1959,81.41134336133346,80.84881838207929,0.562524979254178,True,True
6318,1959264N20292,1959,614.2350006847225,604.4895466031787,9.745454081543812,False,False
6323,1959271N27310,1959,1114.6517991683675,1077.1703691282514,37.48143004011604,False,False
6379,1960174N19267,1960,2662.983060692026,2601.3082572073517,61.67480348467416,False,False
6389,1960210N28275,1960,532.8274700482915,541.778958719442,8.951488671150514,True,True
6410,1960243N10337,1960,422.3116732249122,427.20231345941386,4.890640234501632,True,True
6417,1960257N22267,1960,2610.6864545703343,2535.29727346868,75.38918110165423,False,False
6530,1961245N13318,1961,828.8154297479205,807.0390709151627,21.77635883275775,False,False
6531,1961247N13283,1961,787.0320312148003,796.2977298589319,9.26569864413159,False,False
6538,1961254N11329,1961,587.549988757025,588.2385317119875,0.6885429549625997,True,True
6540,1961256N26282,1961,935.9463168297609,923.9017778007955,12.04453902896546,False,False
6546,1961273N16302,1961,273.986237465721,271.1037016698152,2.882535795905767,True,True
6562,1961306N23301,1961,855.3680500135231,847.3695821237137,7.998467889809376,False,False
6618,1962180N32282,1962,0.0,0.0,0.0,True,True
6643,1962239N16342,1962,2701.7049612055675,2614.2059398431497,87.4990213624178,False,False
6644,1962239N26280,1962,890.5144165508049,870.6609841146501,19.853432436154776,False,False
6652,1962255N16314,1962,993.8933790560898,963.0789437276594,30.814435328430363,False,False
6662,1962272N15311,1962,101.36733198238755,100.43497957450036,0.9323524078871941,True,True
6666,1962287N23287,1962,24.186072752550313,24.419748189102002,0.23367543655168888,True,True
6680,1962331N33287,1962,1150.068650814014,1118.7207738263576,31.34787698765649,False,False
6756,1963213N11321,1963,482.60558113810123,474.37214578528136,8.233435352819868,True,True
6760,1963232N11313,1963,375.5259808856047,371.11470731171806,4.41127357388666,True,True
6793,1963291N26288,1963,281.35738101142084,281.084040534018,0.27334047740282585,True,True
6863,1964210N19314,1964,674.3788868802617,662.4843837012556,11.894503179006051,False,False
6876,1964234N13316,1964,219.8334363066302,218.43916078131988,1.39427552531032,True,True
6883,1964242N14343,1964,0.0,0.0,0.0,True,True
6887,1964248N18324,1964,417.07171845441275,410.1746669048151,6.89705154959762,True,True
6888,1964249N15342,1964,2847.033238711779,2717.866342818162,129.16689589361704,False,False
6893,1964257N15316,1964,0.0,0.0,0.0,True,True
6901,1964273N21280,1964,2538.5225511737162,2411.5335896685715,126.98896150514474,False,False
7017,1965239N11310,1965,2187.6588636579363,2135.7498489986083,51.90901465932802,False,False
7024,1965247N36306,1965,498.2151842585454,488.4967424344839,9.718441824061472,True,True
7032,1965259N13340,1965,1627.3374426180562,1574.4256908305588,52.91175178749745,False,False
7045,1965286N17313,1965,1186.9145315393878,1149.904365864937,37.01016567445072,False,False
7093,1966156N16275,1966,1101.5280943489443,1081.8670851207712,19.661009228173043,False,False
7101,1966194N17303,1966,0.0,0.0,0.0,True,True
7107,1966202N32316,1966,1185.232849819829,1177.392302563348,7.8405472564809315,False,False
7122,1966233N13340,1966,722.347094362882,709.0936631460728,13.25343121680919,False,False
7175,1966318N31333,1966,1332.372070116509,1325.5960843588512,6.775985757657736,False,False
7232,1967167N29286,1967,1005.7181142489643,987.6397573028183,18.07835694614596,False,False
7279,1967241N16324,1967,289.28022388478627,285.3770959610638,3.9031279237224794,True,True
7286,1967248N15341,1967,570.8799431674785,558.9994447783101,11.880498389168338,True,True
7288,1967248N31282,1967,1253.350298812326,1217.5449794875794,35.805319324746506,False,False
7318,1967287N27289,1967,344.7460678785105,343.33618194703627,1.4098859314742072,True,True
