dataset_index,source_points,resampled_points,source_min_dt_h,source_median_dt_h,source_max_dt_h,eligible
13207,35,18,3.0,3.0,3.0,True
13213,156,78,0.75,3.0,3.0,True
13215,44,21,0.25,3.0,3.0,True
13218,61,31,3.0,3.0,3.0,False
13219,83,42,3.0,3.0,3.0,True
13222,77,39,3.0,3.0,3.0,True
13227,54,27,0.5,3.0,3.0,False
13228,9,5,3.0,3.0,3.0,False
13229,177,89,3.0,3.0,3.0,True
13237,74,37,0.5,3.0,3.0,True
13239,35,18,3.0,3.0,3.0,False
13244,71,36,3.0,3.0,3.0,True
13291,47,24,3.0,3.0,3.0,True
13295,9,5,3.0,3.0,3.0,False
13308,49,25,3.0,3.0,3.0,True
13310,133,64,0.5,3.0,3.0,True
13312,27,14,3.0,3.0,3.0,True
13318,69,35,3.0,3.0,3.0,True
13319,16,8,0.5,3.0,3.0,False
13323,65,33,3.0,3.0,3.0,True
13326,89,45,3.0,3.0,3.0,True
13328,14,7,0.25,3.0,3.0,False
13330,47,23,1.0,3.0,3.0,True
13331,93,47,3.0,3.0,3.0,True
13336,49,25,3.0,3.0,3.0,True
13338,25,13,3.0,3.0,3.0,False
13343,29,15,3.0,3.0,3.0,True
13346,43,22,3.0,3.0,3.0,True
13347,19,10,3.0,3.0,3.0,True
13358,67,34,3.0,3.0,3.0,True
13394,35,18,3.0,3.0,3.0,True
13396,12,6,1.5,3.0,3.0,False
13400,87,43,1.0,3.0,3.0,True
13402,23,12,3.0,3.0,3.0,True
13405,43,22,3.0,3.0,3.0,True
13406,52,26,1.0,3.0,3.0,True
13412,44,22,0.5,3.0,3.0,False
13413,33,16,0.75,3.0,3.0,True
13414,66,32,0.16666666666666666,3.0,3.0,True
13416,27,14,3.0,3.0,3.0,False
13422,47,24,3.0,3.0,3.0,False
13424,13,7,3.0,3.0,3.0,False
13428,79,38,0.5,3.0,3.0,True
13429,41,21,3.0,3.0,3.0,True
13435,53,27,3.0,3.0,3.0,True
13436,23,12,3.0,3.0,3.0,False
13438,63,32,3.0,3.0,3.0,True
13439,174,87,0.16666666666666666,3.0,3.0,True
13441,97,49,3.0,3.0,3.0,True
13442,54,27,0.75,3.0,3.0,True
13445,47,24,3.0,3.0,3.0,False
13447,33,17,3.0,3.0,3.0,False
13448,66,33,0.25,3.0,3.0,True
13453,38,19,1.25,3.0,3.0,False
13456,59,29,1.0,3.0,3.0,True
13463,81,41,3.0,3.0,3.0,True
13468,46,23,0.9166666666666666,3.0,3.0,True
13470,110,54,0.08333333333333333,3.0,3.0,True
13474,65,33,3.0,3.0,3.0,True
13476,50,25,0.6666666666666666,3.0,3.0,False
13522,33,17,3.0,3.0,3.0,True
13528,19,10,3.0,3.0,3.0,True
13530,44,22,1.5,3.0,3.0,True
13533,12,6,0.6666666666666666,3.0,3.0,False
13534,80,39,0.5,3.0,3.0,True
13552,87,43,1.0,3.0,3.0,True
13553,71,34,0.5,3.0,3.0,False
13554,81,40,0.3333333333333333,3.0,3.0,True
13558,77,38,0.5833333333333334,3.0,3.0,True
13559,41,21,3.0,3.0,3.0,False
13560,25,13,3.0,3.0,3.0,True
13561,90,45,0.5,3.0,3.0,True
13566,18,9,1.25,3.0,3.0,True
13568,40,20,0.5,3.0,3.0,True
13569,85,43,3.0,3.0,3.0,True
13570,43,22,3.0,3.0,3.0,True
13571,31,16,3.0,3.0,3.0,False
13574,117,59,3.0,3.0,3.0,True
13577,43,22,3.0,3.0,3.0,False
13586,107,54,3.0,3.0,3.0,True
13630,33,17,3.0,3.0,3.0,True
13633,107,54,3.0,3.0,3.0,False
13636,10,5,0.5,3.0,3.0,False
13656,123,62,3.0,3.0,3.0,True
13657,103,52,3.0,3.0,3.0,True
13663,115,55,0.75,3.0,3.0,True
13665,67,34,3.0,3.0,3.0,True
13669,74,35,0.08333333333333333,3.0,3.0,True
13670,23,12,3.0,3.0,3.0,False
13672,23,12,3.0,3.0,3.0,False
13677,19,10,3.0,3.0,3.0,False
13679,36,17,0.5,3.0,3.0,False
13680,35,18,3.0,3.0,3.0,False
13690,46,23,0.5,3.0,3.0,False
13691,41,21,3.0,3.0,3.0,True
13693,47,22,1.0,3.0,3.0,True
13717,29,15,3.0,3.0,3.0,True
13721,46,23,0.25,3.0,3.0,False
13722,47,24,3.0,3.0,3.0,False
13726,115,58,3.0,3.0,3.0,True
13738,133,67,3.0,3.0,3.0,True
13739,59,30,3.0,3.0,3.0,True
13740,170,85,1.0,3.0,3.0,True
13741,17,9,3.0,3.0,3.0,True
13745,104,52,0.25,3.0,3.0,True
13747,33,17,3.0,3.0,3.0,True
13749,133,67,3.0,3.0,3.0,True
13751,108,54,1.0,3.0,3.0,True
13753,91,46,3.0,3.0,3.0,True
13754,91,46,3.0,3.0,3.0,True
13757,28,14,1.25,3.0,3.0,True
13758,108,54,1.25,3.0,3.0,False
13761,31,16,3.0,3.0,3.0,False
13766,49,25,3.0,3.0,3.0,False
13769,106,53,1.25,3.0,3.0,True
13774,10,5,1.5,3.0,3.0,False
